projectId,name,priority,difficulty,status,lastUpdated,dueDate,organisationName,percentMapped,percentValidated,totalArea,country,creation_date,totalContributors,author
33864,Mayotte Cyclone Chido - buildings damage assessment - Barakani Coconi Kahani,URGENT,CHALLENGING,PUBLISHED,2025-11-02 15:01:30.978515,,OSM France,12.64,0.00,0.855,['France'],2025-11-01 22:31:02.878943,3,SeverinGeo
33831,"Chesongoch, Elgeyo Marakwet Landslide mapping ",URGENT,EASY,PUBLISHED,2025-11-02 16:02:37.367258,2025-11-10 21:00:00,Kenya Red Cross,70.67,12.67,46.769,['Kenya'],2025-11-01 09:53:02.747112,48,Boneya Hassan
32710,Pakistan Monsoon Floods 2025 - MAP building footprints for Mingora City Part 2,URGENT,CHALLENGING,PUBLISHED,2025-11-02 13:13:16.660539,,Open Mapping Hub Asia-Pacific,99.70,36.36,4.952,['Pakistan'],2025-10-10 07:16:21.114756,233,Honey Fombuena
32511,Building Mapping/Updating in Northern Cebu,URGENT,MODERATE,PUBLISHED,2025-11-02 15:34:52.818748,,Open Mapping Hub Asia-Pacific,100.00,29.48,236.156,['Philippines'],2025-10-08 08:46:01.871596,466,adiatmad
28320,Pakistan Monsoon Floods 2025 - VALIDATE building footprints for Mingora City,URGENT,MODERATE,PUBLISHED,2025-11-02 10:17:36.500574,,Open Mapping Hub Asia-Pacific,61.40,55.09,46.180,['Pakistan'],2025-08-23 01:47:38.219288,193,Honey Fombuena
33403,Ebola outbreak: DRC 2025 - Roads in Kasai Province (1),HIGH,MODERATE,PUBLISHED,2025-11-02 13:53:06.981584,,Médecins Sans Frontières (MSF) ,54.69,23.27,291.640,['Democratic Republic of the Congo'],2025-10-24 09:37:57.147072,34,Patrik Brigant
33370,United Nations for Somalia - DHANABO: roads,HIGH,EASY,PUBLISHED,2025-11-02 15:26:19.411750,,UN Mappers,98.31,18.64,767.605,['Somalia'],2025-10-24 08:21:41.361919,124,Michael Montani
33369,United Nations for Somalia - DHANABO: villages and barriers,HIGH,EASY,PUBLISHED,2025-11-01 17:06:51.891048,,UN Mappers,99.26,2.94,767.605,['Somalia'],2025-10-24 08:20:07.083577,117,Michael Montani
33138,"Missing Maps: Buildings in Bambo, Democratic Republic of the Congo (2)",HIGH,CHALLENGING,PUBLISHED,2025-11-02 01:37:54.272600,,Médecins Sans Frontières (MSF) ,100.00,100.00,11.265,['Democratic Republic of the Congo'],2025-10-20 08:57:12.876663,36,Patrik Brigant
31917,National Mapathon México Santo Tomás de Jalieza,HIGH,EASY,PUBLISHED,2025-11-01 02:50:28.415699,2025-10-04 05:00:00,Open Mapping Hub for Latin America and the Caribbean,100.00,100.00,7.276,['Mexico'],2025-09-30 15:25:26.424474,93,Juan Carlos Melo Luna
31786,National Mapathon México Lázaro Cárdenas Quintana Roo,HIGH,MODERATE,PUBLISHED,2025-11-02 16:03:33.712347,2025-10-04 05:00:00,Open Mapping Hub for Latin America and the Caribbean,76.12,11.47,24.103,['Mexico'],2025-09-29 12:32:08.457617,248,Juan Carlos Melo Luna
31356,"Missing Maps: Al-Bukamal, Syria (2)",HIGH,MODERATE,PUBLISHED,2025-11-02 13:42:55.495047,,Médecins Sans Frontières (MSF) ,100.00,84.05,140.233,['Syria'],2025-09-23 13:33:59.589733,192,bluestarfish
